INCHIKEY,SMILES
AJSVSHDVMDXRFN-UHFFFAOYSA-N,OC(C1=C(O)C(Cl)=CC(Br)=C1O)=O
XRHGYUZYPHTUJZ-UHFFFAOYSA-N,O=C(O)C1=CC=C(Cl)C=C1
ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(c1cc(C(C)(C)C)c(O)cc1)C
QZHDEAJFRJCDMF-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(O)=O
RZVAJINKPMORJF-UHFFFAOYSA-N,OC1=CC=C(NC(C)=O)C=C1
CMWTZPSULFXXJA-VIFPVBQESA-N,COC1=CC=C2C(C=CC([C@H](C)C(O)=O)=C2)=C1
HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C1=CC=C(CC(C)C)C=C1)C(O)=O
DVPRQNKJGQEICH-JTQLQIEISA-N,O=C(C)NC1=CC(SC[C@@H](C(O)=O)NC(C)=O)=C(O)C=C1
IGTYILLPRJOVFY-UHFFFAOYSA-N,CC(NC1=CC=C(OS(=O)(O)=O)C=C1)=O
IPROLSVTVHAQLE-UHFFFAOYSA-N,OC1C(C(O)=O)OC(OC2=CC=C(NC(C)=O)C=C2)C(O)C1O
OEPADIDIUZTYOX-UHFFFAOYSA-N,OC1=CC=CC=C1C(NCC(OC2C(O)C(O)C(O)C(C(O)=O)O2)=O)=O
NNJVILVZKWQKPM-UHFFFAOYSA-N,CC1=CC=CC(C)=C1NC(CN(CC)CC)=O
WRMRXPASUROZGT-UHFFFAOYSA-N,CC1=CC=CC(C)=C1NC(CNCC)=O
XWJUDDGELKXYNO-QMMMGPOBSA-N,OC1=CC=C2C(C=CC([C@H](C)C(O)=O)=C2)=C1
BNKMSCMOWGCUOF-QMMMGPOBSA-N,C[C@H](C(O)=O)C1=CC2=CC=C(OS(=O)(O)=O)C=C2C=C1
HRLQZTOIKWEZBN-UHFFFAOYSA-N,CC(NC1=C(O)C=C(OS(=O)(O)=O)C=C1)=O
NZKKXAGORRATJB-UHFFFAOYSA-N,CC(NC1=C(OC)C=C(OS(=O)(O)=O)C=C1)=O
GDCCQRYSPGZVPX-UHFFFAOYSA-N,CC(NC1=C(OC)C=C(OC2OC(C(O)=O)C(O)C(O)C2O)C=C1)=O
LLHICPSCVFRWDT-UHFFFAOYSA-N,CC(NC1=CC=C(O)C(SCC(C(O)=O)N)=C1)=O
ABOLXXZAJIAUGR-JPMMFUSZSA-N,CC(C)CC1=CC=C(C(C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H]([C@](O)=O)O2)=O)C)C=C1
UJHKVYPPCJBOSG-UHFFFAOYSA-N,OC(C)(C)CC(C=C1)=CC=C1C(C(O)=O)C
DIVLBIVDYADZPL-UHFFFAOYSA-N,OC(C(CC1=CC=C(C(C(O)=O)C)C=C1)C)=O
DJEGXIBXYHERSU-UHFFFAOYSA-N,NC1=CC=C(OS(O)(=O)=O)C=C1
FLVLKWAQHDRIPH-UHFFFAOYSA-N,CC(C(OC1OC(C(O)=O)C(O)C(O)C1O)=O)C2=CC=C(CC(C)C(O)=O)C=C2
VOXWKXZBPMQUJH-UHFFFAOYSA-N,CSC1=CC(NC(C)=O)=CC=C1OS(O)(=O)=O
LOUPRKONTZGTKE-WGFDLZGGSA-N,COC1=CC2=C(N=CC=C2[C@@H](O)C3N(CC4C=C)CCC4C3)C=C1
LSQZJLSUYDQPKJ-UHFFFAOYSA-N,O=C1C(NC(C(N)C2=CC=C(O)C=C2)=O)C3N1C(C(O)=O)C(C)(C)S3
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1n(CCO)c([N+]([O-])=O)cn1
ZPFYUMPBKRRSTR-UHFFFAOYSA-N,ClC1=CC(Cl)=CC=C1OC2=C(OS(O)(=O)=O)C=C(Cl)C=C2
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@@H]1[C@@](C)(O)[C@H](O)[C@@H](C)C([C@H](C)C[C@@](C)(OC)[C@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(O1)=O)=O
AVKUERGKIZMTKX-UHFFFAOYSA-N,CC1(C)C(C(O)=O)N2C(C(NC(C(N)C3=CC=CC=C3)=O)C2=O)S1
IUBSYMUCCVWXPE-UHFFFAOYSA-N,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
PUQIRTNPJRFRCZ-UHFFFAOYSA-N,CC(C)NCC(O)COC1=CC=C(CC(O)=O)C=C1
VXIXUWQIVKSKSA-UHFFFAOYSA-N,OC(C1=CC=CC=C1O2)=CC2=O
HTQMVQVXFRQIKW-UHFFFAOYSA-N,O=C(C1=CC=CC2=C1N(CC(C=C3)=CC=C3C4=CC=CC=C4C5=NN=NN5)C(OCC)=N2)O
OFRYBPCSEMMZHR-UHFFFAOYSA-N,CC(NCC(O)COC1=CC=C(C(O)COC)C=C1)C
SUBDBMMJDZJVOS-UHFFFAOYSA-N,O=S(C1=NC2=C(C=C(C=C2)OC)N1)CC3=NC=C(C(OC)=C3C)C
XZWYZXLIPXDOLR-UHFFFAOYSA-N,N=C(N(C)C)NC(N)=N
